region,year,type,population
All Kazakhstan,2009,total,15982370
All Kazakhstan,2009,urban,8662919
All Kazakhstan,2009,rural,7319451
All Kazakhstan,2010,total,16203036
All Kazakhstan,2010,urban,8819472
All Kazakhstan,2010,rural,7383564
All Kazakhstan,2011,total,16440124
All Kazakhstan,2011,urban,8973771
All Kazakhstan,2011,rural,7466353
All Kazakhstan,2012,total,16673077
All Kazakhstan,2012,urban,9127112
All Kazakhstan,2012,rural,7545965
All Kazakhstan,2013,total,16909776
All Kazakhstan,2013,urban,9277657
All Kazakhstan,2013,rural,7632119
All Kazakhstan,2014,total,17160774
All Kazakhstan,2014,urban,9433482
All Kazakhstan,2014,rural,7727292
All Kazakhstan,2015,total,17417673
All Kazakhstan,2015,urban,9868641
All Kazakhstan,2015,rural,7549032
Akmola,2009,total,738827
Akmola,2009,urban,342188
Akmola,2009,rural,396639
Akmola,2010,total,735117
Akmola,2010,urban,342326
Akmola,2010,rural,392791
Akmola,2011,total,733244
Akmola,2011,urban,342426
Akmola,2011,rural,390818
Akmola,2012,total,731337
Akmola,2012,urban,341742
Akmola,2012,rural,389595
Akmola,2013,total,732719
Akmola,2013,urban,344237
Akmola,2013,rural,388482
Akmola,2014,total,735566
Akmola,2014,urban,346391
Akmola,2014,rural,389175
Akmola,2015,total,736605
Akmola,2015,urban,347382
Akmola,2015,rural,389223
Aktobe,2009,total,756782
Aktobe,2009,urban,460251
Aktobe,2009,rural,296531
Aktobe,2010,total,763566
Aktobe,2010,urban,465350
Aktobe,2010,rural,298216
Aktobe,2011,total,777460
Aktobe,2011,urban,478155
Aktobe,2011,rural,299305
Aktobe,2012,total,786316
Aktobe,2012,urban,484940
Aktobe,2012,rural,301376
Aktobe,2013,total,795817
Aktobe,2013,urban,490590
Aktobe,2013,rural,305227
Aktobe,2014,total,808932
Aktobe,2014,urban,498794
Aktobe,2014,rural,310138
Aktobe,2015,total,822522
Aktobe,2015,urban,510568
Aktobe,2015,rural,311954
Almaty,2009,total,1804005
Almaty,2009,urban,424687
Almaty,2009,rural,1379318
Almaty,2010,total,1836148
Almaty,2010,urban,431635
Almaty,2010,rural,1404513
Almaty,2011,total,1872814
Almaty,2011,urban,438470
Almaty,2011,rural,1434344
Almaty,2012,total,1908717
Almaty,2012,urban,444547
Almaty,2012,rural,1464170
Almaty,2013,total,1946718
Almaty,2013,urban,451914
Almaty,2013,rural,1494804
Almaty,2014,total,1984518
Almaty,2014,urban,457716
Almaty,2014,rural,1526802
Almaty,2015,total,1922107
Almaty,2015,urban,465804
Almaty,2015,rural,1456303
Atyrau,2009,total,509123
Atyrau,2009,urban,239034
Atyrau,2009,rural,270089
Atyrau,2010,total,520992
Atyrau,2010,urban,247286
Atyrau,2010,rural,273706
Atyrau,2011,total,532042
Atyrau,2011,urban,254164
Atyrau,2011,rural,277878
Atyrau,2012,total,542966
Atyrau,2012,urban,260668
Atyrau,2012,rural,282298
Atyrau,2013,total,555217
Atyrau,2013,urban,268192
Atyrau,2013,rural,287025
Atyrau,2014,total,567861
Atyrau,2014,urban,265229
Atyrau,2014,rural,302632
Atyrau,2015,total,581473
